archivo_pdf,paginas_pdf,tipo_informe,codigo_documento,nombre_edificacion_informe,ubicacion_informe,lat_informe,lon_informe,fecha_inspeccion_informe,evaluadores,supervisor,dictamen_etiqueta,recomienda_demolicion,inviabilidad_reparacion,uso,anio_construccion_informe,num_pisos_informe,num_sotanos_informe,area_planta_m2,sistema_estructural,piso_critico_mencionado,hallazgos_flags,n_evidencias_fotograficas_citadas,extracto_conclusiones,texto_disponible,chars_texto_extraido,match_calidad,match_score,hab_id,hab_certificado,hab_etiqueta,hab_nombre,hab_direccion,hab_municipio,hab_parroquia,hab_num_pisos,hab_material,hab_uso,hab_inspector,hab_created_at,hab_estatus_demolicion,hab_lat,hab_lng,hab_obs,match_alternativos,nombre_norm,nombre_archivo_norm
fioremar.pdf,2,Recolección de escombros / post-colapso,DGPS-013-05-08-2026,Hotel Fioremar,,,,15/04/2026,Johan Bellorin Ingeniero Supervisor CIV; Trino Baloa CIV,CIV. 306.361,Colapso / escombros,No detectado en texto,No detectado,,,12,,480,,,,0,,Sí,1606,Alto,0.9,203552,659934290720260419,ROJO,Residencias or,"Avenida panteón, San joe, San Juan, Libertador, Caracas, Distrito Capital",LIBERTADOR,SAN JOSE,17.0,Mixto,Vivienda Edificio,Edgar José Vásquez Mijares,2026-07-29 04:19:34,,10.511478,-66.906987,"Realizar reparaciones, columnas ubicadas en los comercios y sotano","A (ROJO, score=0.9, id=195108)",fioremar,fioremar
informe demolicion samantha.pdf,3,Justificación técnica de demolición,,"Residencias Samantha, Torre 1 y Torre 2","Calle 9 del sector Playa Grande, parroquia Catia La Mar, Municipio",,,,Johan Bellorin CIV; Trino Baloa CIV,,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,Sí,,,,,,,,falla_columnas; perdida_verticalidad; peligro_aledanos,0,Justificación Técnica de Demolición por Daño Severo ,Sí,3349,Alto (alias manual),1.0,195050,23924240720262352,ROJO,Res. Samantha Torre 1,"Caracas, Distrito Capital, 10, Venezuela",VARGAS,URIMARE,11.0,Concreto,Vivienda Edificio,Juan Samuel Teles Goncalves,2026-07-24 23:52:34,,10.611482924230613,-67.01983298546354,Columnas del módulo de escalera con daño severo. Afectación a nodos estructurales inspeccionados desde la fachada,"Res. Samantha Torre 2 (ROJO, score=0.9, id=195008) | Torre 1 (ROJO, score=0.9, id=178527)",samantha torre 1 y torre 2,samantha
INFORME EVALUACION RESIDENCIAS ARENAL.pdf,3,Informe técnico estructural,DGPS-009-11-08-2026,Residencias Arenal,"Calle La Playa, Sector Caraballeda, Edo. La Guaira",,,11 de agosto de 2026,,,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,Residencial Multifamiliar,,,,,,,dano_vigas; dano_losas; cerramientos; peligro_aledanos; acordonamiento,5,"su demolición controlada, mediante un procedimiento previamente planificado que garantice la seguridad de las ",Sí,7217,Alto (alias manual),1.0,77330,4321120720261628,ROJO,Residencias Arenal,"Vargas, La Guaira, 11, Venezuela",VARGAS,CARABALLEDA,12.0,Concreto,Vivienda Casa,Deymar García,2026-07-12 16:29:22,,10.614091054465492,-66.83516621589662,Grietas por facha de flexión en nodos ,"Arenal  (ROJO, score=1.0, id=76612)",arenal,arenal
INFORME EVALUACION RESIDENCIAS EL MAMON.pdf,3,Justificación técnica de demolición,,RESIDENCIAS EL MAMON,,10.6122222,-66.8252565,,,,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,,,,,,,,falla_columnas; perdida_verticalidad; dano_losas; cerramientos; peligro_aledanos,0,Evaluación visual de condición estructural y recomendación de demolición controlada ,Sí,4335,Alto (alias manual),1.0,170487,39991180720261927,ROJO,Residencias El Mamon,"Caracas, Distrito Capital, 10, Venezuela",VARGAS,CARABALLEDA,5.0,Concreto,Vivienda Edificio,Yennifer Alejandra Zacarias Trejo,2026-07-18 19:27:19,,10.612378770019632,-66.82524818206764,nan,"Residencia el mamon (ROJO, score=1.0, id=161868) | Res. El mamón  (ROJO, score=0.95, id=32691)",mamon,mamon
INFORME EVALUACION RESIDENCIAS NEWPORT.pdf,5,Justificación técnica de demolición,DGPS-013-11-08-2026,Residencias New Port,"Av. La Playa, Urb. Caribe, Caraballeda, Estado La Guaira.",,,11 de agosto de 2026,Evaluador,,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,No detectado,,,,,,,,cerramientos,0,"inspección, se justifica la demolición controlada de la edificación, mediante un ",Sí,4722,Alto,1.0,70980,8919120720261325,NEGRO,Residencias Newport,"Calle la playa, tanaguarenas, la Guaira ",VARGAS,CARABALLEDA,1.0,Concreto,Vivienda Edificio,Yohandy Alexi Miquilena Toyo,2026-07-12 13:25:36,,10.6126444,-66.8283203,nan,,new port,newport
INFORME EVALUACION RESIDENCIAS REFUGIO DEL CARIBE.pdf,7,Justificación técnica de demolición,DGPS-013-11-08-2026,Refugio del Caribe,"Tanaguarenas, Estado La Guaira (Vargas), Venezuela",,,11 de agosto de 2026,Evaluador,,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,,,9,,"000,00",,,falla_columnas; perdida_verticalidad; dano_losas; cerramientos; peligro_aledanos; apuntalamiento,0," Preservación de Vidas Humanas: A diferencia de otras edificaciones en el sector que sufrieron colapso total (incluyendo el colapso completo de plantas bajas), el edificio Refugio del Caribe mantuvo las vías de evacuación funcionales el tiempo suficiente para que todos los habitantes desocuparan la edificación en su totalidad, salvaguardando la vida de las personas. Resistencia y Ductilidad Remanente: A pesar de presentar fallas graves en nodos, losas de los pisos 1 a 3 y recubrimientos, la estr",Sí,6138,Alto (alias manual),1.0,170205,39391180720261434,ROJO,Residencias Refugio del Caribe,"Tanaguarenas, avenida jardin botanico residencias Refugio del Caribe",VARGAS,CARABALLEDA,7.0,Concreto,Vivienda Edificio,Ricardo Jose Volpe Oropeza,2026-07-18 14:34:57,,10.612089877192622,-66.82693039388609,"
Auditoría: se marcaron como duplicadas y se eliminaron las inspecciones: 195996, 196007","Refugio del caribe (ROJO, score=1.0, id=170193) | Refugio del Caribe  (ROJO, score=1.0, id=71687)",refugio caribe,refugio caribe
INFORME EVALUACION RESIDENCIAS SAN JORGE.pdf,6,Justificación técnica de demolición,DGPS-013-11-08-2026,Edificio San Jorge (Torre separada con junta de dilatación,"Tanaguarenas, Estado La Guaira (Vargas), Venezuela",,,11 de agosto de 2026,Evaluador; Supervisor,Werner Faro,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,No detectado,,,,,,,,falla_columnas; cerramientos; peligro_aledanos; acordonamiento,0,Y DEMOLICIÓN TÉCNICA CONTROLADA DE LA TORRE SAN JORGE. Se mantiene la ,Sí,4479,Alto,1.0,2105,2311070720261057,ROJO,Edificio San Jorge,"Vargas, La Guaira, 11, Venezuela",VARGAS,CATIA LA MAR,8.0,Concreto,Médico / Asistencial,Ricardo Arcangel Raimondi,2026-07-07 11:02:20,,10.5989811,-67.042311,"Los elementos estructurales ""visibles"" no evidencian daños que pudieren sugerir colapso de la edificación, salvo el hall de acceso en  cuyas columnas circulares aparecen grietas profundas, sin embargo estas no son redond","Res. San Jorge (ROJO, score=0.9, id=169875) | Torre S (ROJO, score=0.9, id=79553)",san jorge torre separada con junta dilatacion,san jorge
INFORME TECNICO EDIFICIO CAPRI XVI.pdf,11,Justificación técnica de demolición,DGPS_INF-F2-Tanaguarena,EDIFICIO CAPRI CLUB XVI,"Avenida Costanera La Llanada, Mun. Vargas Caraballeda, Estado La Guaira",10.610953,-66.866996,11 de agosto de 2026,Luis Burgos; José García; Daniel Arana; Antonio de Nicolo; Aura Quintero,Aura Quintero.,INSEGURO (Rojo) — confirmado/citado,Sí,Sí,,,14,,450,pórticos de concreto armado,"Piso Crítico"" de la estructura.",falla_columnas; perdida_verticalidad; dano_vigas; dano_losas; cerramientos; peligro_aledanos; acordonamiento; apuntalamiento; monitoreo_vecinos,0,"4.1 Conclusiones 1. El Edificio Capri Club XVI presenta una condición irreversible de colapso potencial inminente, con un nivel de riesgo estructural catalogado como extremo. 2. Las fallas críticas se concentran en el primer nivel (piso crítico), donde más del 50% de las columnas están rotas con pérdida superior al 50% de su sección de núcleo de concreto armado, lo cual ha causado la pérdida de verticalidad de la torre de 14 pisos y la reducción física de la altura del entrepiso. 3. Se constató ",Sí,13194,Alto,0.9,180607,66592220720261652,ROJO,Edificio Capri,"Callejón San Pedro, Callejón San Pedro, Altagracia, Libertador, Caracas, Distrito Capital",Libertador,,8.0,Mixto,Vivienda Edificio,Luis Miguel Prado caicaguare,2026-07-22 16:52:03,,,,nan,"EDIFICIO CAPRI (ROJO, score=0.9, id=108676) | capri  (ROJO, score=0.9, id=2434)",capri club xvi,capri xvi
INFORME TECNICO EDIFICIO FRANCO MAR.pdf,8,Justificación técnica de demolición,DGPS_INF-F2-Tanaguarena,EDIFICIO FRANCO MAR,"Avenida José María España, Vargas, Estado La Guaira",10.489497,-66.899001,11 de agosto de 2026,Luis Burgos; José García; Aura Quintero,Aura Quintero.,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,Sí,,,5,,780,pórticos de concreto armado,"Piso Crítico"".",falla_columnas; perdida_verticalidad; dano_vigas; dano_losas; cerramientos; peligro_aledanos; apuntalamiento,0,"1. Se concluye que el Edificio Franco Mar presenta una condición de colapso potencial inminente, catalogada de extremo riesgo estructural debido al colapso por compresión de sus columnas de soporte en el Nivel 1 (piso crítico), la notable reducción de su entrepiso, la pérdida irreparable de su verticalidad y las fallas por corte en vigas en 5 niveles de la edificación. 2. Como RECOMENDACIÓN ÚNICA E INMEDIATA se establece la DEMOLICIÓN RÁPIDA Y CONTROLADA de la estructura. Esta acción debe ser co",Sí,9481,Alto (alias manual),1.0,171818,73420200720261338,ROJO,Edif. Francomar,Calle Principal Boulevard Tanaguarenas. Caraballeda. La Guaira.,VARGAS,CARABALLEDA,12.0,Concreto,Vivienda Edificio,Maria Mercedes Nieves Duarte,2026-07-20 13:44:09,,10.6123543,-66.8318071,"Edificio a punto de colapso, se recomienda Desalojar","Franco mar (ROJO, score=1.0, id=139455) | Franco Mar (ROJO, score=1.0, id=139403)",franco mar,franco mar
INFORME TECNICO OPPPE30.pdf,3,Ficha PNUD / ATC-20 detallada,,OPPPE30 – TORRE A Y TORRE B,"Calle/No/Sector OPPPE30, Los Ramos, Caraballeda,",10.611338,-66.865450,[ 11 / 08 / 2026 ],,AURA CECILIA QUINTERO D´JESÚS,INSEGURO (Rojo) — confirmado/citado,Sí,Sí,Habitación / Departamentos,2001-2019,12,0,853.00,Pórticos de Concreto Armado,piso crítico (Planta,perdida_verticalidad; cerramientos; peligro_aledanos; acordonamiento; apuntalamiento,0,"Demolición/retiro inmediato de elementos no estructurales inestables (plafones, elementos de ",Sí,5208,Alto,0.95,158585,3623160720261340,ROJO,"Edificio la llamada, torre 2",La llamada,VARGAS,CARABALLEDA,5.0,Concreto,Vivienda Edificio,Elvia Maria Corredor De Gutierrez,2026-07-16 13:40:48,,10.611179795305237,-66.86658297958934,nan,"Oppp30 (ROJO, score=0.95, id=158241) | Oppep30 (ROJO, score=0.95, id=158103)",opppe30 torre a y torre b,opppe30
